"","Company.Name","Category.Groups","Headquarters.Location","Status","Closed.Date","Founded.Date","Number.of.Articles","Categories","Number.of.Employees","Number.of.Founders","Number.of.Funding.Rounds","Last.Funding.Date","Last.Funding.Amount","Last.Funding.Type","Last.Equity.Funding.Amount","Total.Equity.Funding.Amount","Total.Funding.Amount","Number.of.Investors","Number.of.Lead.Investors","Stock.Exchange","Stock.Symbol","Valuation.at.IPO","Money.Raised.at.IPO","IPO.Date"
"6491","Startup Essentials",,"New York, New York, United States","Operating",,2013-01-01,,,"11-50",0,,,0,,0,0,0,,,,,,,
"6492","Startup Book Club","Media and Entertainment, Content and Publishing","California, Kentucky, United States","Operating",,,,"Publishing","1-10",0,,,0,,0,0,0,,,,,,,
"6493","Start Up 90",,"Cape Town, NA - South Africa, South Africa","Operating",,2014-01-01,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6494","Scandinavian Startups",,"Stockholm, Stockholms Lan, Sweden","Operating",,2010-11-07,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6495","Startup Palm Beach",,,"Operating",,,1,,"1-10",1,,,0,,0,0,0,,,,,,,
"6496","SupaStar Interactive","Information Technology, Internet Services, Messaging and Telecommunications","San Francisco, California, United States","Operating",,,,"Messaging","1-10",0,,,0,,0,0,0,,,,,,,
"6497","StartUp BUZZ",,"Porto, Lisboa, Portugal","Operating",,2012-03-26,,,"11-50",0,,,0,,0,0,0,,,,,,,
"6498","Skycheck","Commerce and Shopping","Hamburg, Hamburg, Germany","Operating",,,,"E-Commerce","1-10",0,,,0,,0,0,0,,,,,,,
"6499","Swipe Auctions","Commerce and Shopping","Las Vegas, Nevada, United States","Operating",,2009-11-01,,"Shopping, Auctions","101-250",0,,,0,,0,0,0,,,,,,,
"6500","Solid Art Labs","Hardware, Software",,"Operating",,2013-02-06,,"Hardware, Software","1-10",1,,,0,,0,0,0,,,,,,,
"6501","SORTD - on demand professional services platform",,,"Operating",,2017-01-01,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6502","Startup Ecology","Health Care, Financial Services, Lending and Investments","New York, New York, United States","Operating",,2013-05-01,,"Psychology, Incubators","1-10",0,,,0,,0,0,0,,,,,,,
"6503","Security Journey",,"Fuquay Varina, North Carolina, United States","Operating",,2015-01-01,,,"1-10",1,,,0,,0,0,0,,,,,,,
"6504","Sociallgreen",,"ThessalonÃ­ki, Thessaloniki, Greece","Operating",,2013-06-07,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6505","Something Cool",,"Delhi, Delhi, India","Operating",,,,,"11-50",0,,,0,,0,0,0,,,,,,,
"6506","ScrapeHero","Information Technology, Data and Analytics",,"Operating",,2014-01-01,,"SaaS, Data Mining","11-50",0,,,0,,0,0,0,,,,,,,
"6507","StartupABQ",,"Albuquerque, New Mexico, United States","Operating",,2013-01-01,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6508","Startup Daily","Media and Entertainment, Content and Publishing",,"Operating",,,,"News, Publishing","1-10",0,,,0,,0,0,0,,,,,,,
"6509","Sinapis Group",,"Nairobi, Nairobi Area, Kenya","Operating",,2010-01-01,,"Non Profit","1-10",0,,,0,,0,0,0,,,,,,,
"6510","Startup Augusta",,"Augusta, Georgia, United States","Operating",,2014-01-01,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6511","SourceHorse","Media and Entertainment, Events, Financial Services","Los Angeles, California, United States","Operating",,2013-01-01,,"Crowdfunding, Events","1-10",0,,,0,,0,0,0,,,,,,,
"6512","S C H L A C K & Co",,"Paris, Ile-de-France, France","Operating",,,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6513","ShoppTag","Commerce and Shopping, Mobile",,"Operating",,2011-02-27,,"Mobile, Shopping","1-10",0,,,0,,0,0,0,,,,,,,
"6514","Startup Tour",,,"Operating",,2012-01-01,2,,"11-50",0,,,0,,0,0,0,,,,,,,
"6515","Sporticos",,,"Operating",,2015-06-01,1,,"11-50",0,,,0,,0,0,0,,,,,,,
"6516","Skwuare Technologies",,"Lagos, Lagos, Nigeria","Operating",,2016-01-04,,,"1-10",2,,,0,,0,0,0,,,,,,,
"6517","Startup Megaphone",,,"Operating",,2015-01-01,,,"501-1000",0,,,0,,0,0,0,,,,,,,
"6518","Startup Basecamp",,"San Francisco, California, United States","Operating",,,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6519","Siliconkarne","Media and Entertainment, Content and Publishing",,"Operating",,2013-01-01,,"News","1-10",0,,,0,,0,0,0,,,,,,,
"6520","Startup Conejo Valley",,"Westlake Village, California, United States","Operating",,,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6521","Startup Party",,"Barcelona, Catalonia, Spain","Operating",,2013-01-01,,,"51-100",0,,,0,,0,0,0,,,,,,,
"6522","StartCards",,"Boulder, Colorado, United States","Operating",,2015-01-01,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6523","Snowcloud",,,"Operating",,2015-09-01,,,"1-10",1,,,0,,0,0,0,,,,,,,
"6524","StarterNoise","Media and Entertainment, Content and Publishing",,"Operating",,2014-01-01,,"News","1-10",0,,,0,,0,0,0,,,,,,,
"6525","Startup Corps",,"Philadelphia, Pennsylvania, United States","Operating",,2009-01-01,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6526","Startup Princess",,"Los Angeles, California, United States","Operating",,,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6527","StartupSB",,"Santa Barbara, California, United States","Operating",,2012-01-01,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6528","SNSEpro",,"Mumbai, Maharashtra, India","Operating",,2007-05-01,,"Consulting","11-50",0,,,0,,0,0,0,,,,,,,
"6529","Silicon Solar Solutions",,"Fayetteville, Arkansas, United States","Operating",,1997-01-01,1,,"1-10",0,,,0,,0,0,0,,,,,,,
"6530","Siliconvicts",,"Malibu, California, United States","Operating",,2015-09-01,1,,"1-10",0,,,0,,0,0,0,,,,,,,
"6531","Startup Europe India Network (SEU-IN)",,,"Operating",,2015-01-01,,,"1-10",1,,,0,,0,0,0,,,,,,,
"6532","Semanttica","Data and Analytics, Software",,"Operating",,2011-01-01,,"Machine Learning","1-10",1,,,0,,0,0,0,,,,,,,
"6533","Startup Screener",,,"Operating",,2013-01-01,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6534","Startup Gr",,"Athens, Attiki, Greece","Operating",,,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6535","SuBali",,"Bali, Jawa Barat, Indonesia","Operating",,,,,"251-500",0,,,0,,0,0,0,,,,,,,
"6536","Strucutured Reports Corp","Software","Vancouver, British Columbia, Canada","Operating",,2012-01-01,,"Software","1-10",0,,,0,,0,0,0,,,,,,,
"6537","Sameera Techno Solutions",,"Hyderabad, Andhra Pradesh, India","Operating",,2012-01-01,,"IaaS, Infrastructure","51-100",0,,,0,,0,0,0,,,,,,,
"6538","Startup Communities Ottawa",,"Ottawa, Ontario, Canada","Operating",,,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6539","Start:up Slovenija",,,"Operating",,2012-01-01,,,"51-100",0,,,0,,0,0,0,,,,,,,
"6540","Scanbuku","Media and Entertainment, Content and Publishing","Jakarta, Jakarta Raya, Indonesia","Operating",,2011-03-01,,"News","1-10",0,,,0,,0,0,0,,,,,,,
"6541","seedcurve","Media and Entertainment, Internet Services","London, England, United Kingdom","Operating",,2013-01-01,,"Social Media","1-10",0,,,0,,0,0,0,,,,,,,
"6542","Semantic Valley",,,"Operating",,2009-12-03,,,"1-10",1,,,0,,0,0,0,,,,,,,
"6543","SInglePet",,"Seoul, Seoul-t'ukpyolsi, South Korea","Operating",,2013-06-25,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6544","Segments Accelerator",,,"Operating",,2014-01-01,,,"1-10",1,,,0,,0,0,0,,,,,,,
"6545","SKWRL","Consumer Goods",,"Operating",,,,"Toys","1-10",0,1,2016-07-01,0,"Seed",0,0,0,3,0,,,,,
"6546","Soeie",,"Mississauga, Ontario, Canada","Operating",,2008-01-01,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6547","Sappos",,,"Operating",,2012-01-01,,,"11-50",0,,,0,,0,0,0,,,,,,,
"6548","Startuptabs",,"Los Angeles, California, United States","Operating",,2013-06-01,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6549","SEO Yogis","Media and Entertainment, Sales and Marketing, Internet Services, Advertising","Bangalore, Karnataka, India","Operating",,2012-06-04,,"Advertising, Social Media, SEO","1-10",0,,,0,,0,0,0,,,,,,,
"6550","StartupBook","Media and Entertainment, Content and Publishing","New York, New York, United States","Operating",,,,"News","1-10",0,,,0,,0,0,0,,,,,,,
"6551","StartupTree",,"Seoul, Seoul-t'ukpyolsi, South Korea","Operating",,2013-01-01,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6552","Suits to Silicon Alley",,"New York, New York, United States","Operating",,,,,"11-50",0,,,0,,0,0,0,,,,,,,
"6553","Startup Atlanta",,"Atlanta, Georgia, United States","Operating",,2009-01-01,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6554","Seed Philly",,"Philadelphia, Pennsylvania, United States","Operating",,,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6555","Sardegna Startup",,"Nuoro, Sardegna, Italy","Operating",,2013-01-01,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6556","Sync Labs",,"Perth, Western Australia, Australia","Operating",,2012-01-01,,,"11-50",0,,,0,,0,0,0,,,,,,,
"6557","Startup Bisnis",,"Tangerang, Jawa Barat, Indonesia","Operating",,,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6558","Successful Startup 101",,,"Operating",,2013-10-31,,,"1-10",1,,,0,,0,0,0,,,,,,,
"6559","Startup Devs",,"Santa Monica, California, United States","Operating",,2012-01-01,,,"11-50",1,,,0,,0,0,0,,,,,,,
"6560","Stapleup.com","Information Technology, Privacy and Security",,"Operating",,2011-08-14,,"Identity Management","1-10",0,,,0,,0,0,0,,,,,,,
"6561","Shoreditch Cofounders","Sales and Marketing","London, England, United Kingdom","Operating",,2014-03-15,,"Public Relations","1-10",0,,,0,,0,0,0,,,,,,,
"6562","Startup Studio LLC",,"MalmÃ¶, Skane Lan, Sweden","Operating",,2014-01-01,,,"1-10",1,,,0,,0,0,0,,,,,,,
"6563","Scopio",,"Israel, Asia","Operating",,,,"Consumer","1-10",0,,,0,,0,0,0,,,,,,,
"6564","Startup Cafe Digital",,"Bangalore, Karnataka, India","Operating",,2015-08-05,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6565","SME Pals",,,"Operating",,2010-02-07,4,,"1-10",0,,,0,,0,0,0,,,,,,,
"6566","StartupHubs","Software",,"Operating",,,,"Software","1-10",0,,,0,,0,0,0,,,,,,,
"6567","S10I",,"Belo Horizonte, Minas Gerais, Brazil","Operating",,2011-01-01,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6568","Startup Elite",,,"Operating",,,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6569","Startup Ninja","Sales and Marketing","Half Moon Bay, California, United States","Operating",,1998-01-01,,"Public Relations","11-50",0,,,0,,0,0,0,,,,,,,
"6570","Startup Squad",,"Morristown, New Jersey, United States","Operating",,2012-02-01,,,"1-10",1,,,0,,0,0,0,,,,,,,
"6571","StartupHelp","Education",,"Operating",,2012-11-01,,"Education","1-10",1,,,0,,0,0,0,,,,,,,
"6572","Startup School","Software, Education, Internet Services",,"Operating",,2017-01-01,1,"Online Portals, Education, EdTech","1-10",0,,,0,,0,0,0,,,,,,,
"6573","Saraiya Pllc",,"Plano, Texas, United States","Operating",,,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6574","Solid State Pros LLC",,"Seattle, Washington, United States","Operating",,2014-01-01,,,"11-50",0,,,0,,0,0,0,,,,,,,
"6575","Startup Startup","Internet Services",,"Operating",,2015-01-01,,"Internet","1-10",0,,,0,,0,0,0,,,,,,,
"6576","Scientra","Software","Tel Aviv, Tel Aviv, Israel","Operating",,2013-01-01,,"Software","11-50",0,,,0,,0,0,0,,,,,,,
"6577","SocialGrep","Media and Entertainment, Content and Publishing",,"Operating",,2010-01-01,,"News","1-10",0,,,0,,0,0,0,,,,,,,
"6578","Startup Talent",,,"Operating",,2006-01-02,,,"501-1000",0,,,0,,0,0,0,,,,,,,
"6579","StartupBox.pl",,"Lodz, Lodzkie, Poland","Operating",,2015-07-06,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6580","StrapsCo",,,"Operating",,2014-01-18,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6581","SickTeller","Health Care","Stockholm, Stockholms Lan, Sweden","Operating",,2014-02-25,,"Health Care","1-10",1,,,0,,0,0,0,,,,,,,
"6582","Startup Kindness",,,"Operating",,,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6583","Starfish Enterprise",,,"Operating",,2014-01-01,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6584","Sciensation",,"Secunderabad, Andhra Pradesh, India","Operating",,2011-01-01,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6585","Silicon Valley Talent LLC.",,"San Mateo, California, United States","Operating",,2012-01-01,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6586","SCHAFFENGOTT",,"Busan, Pusan-jikhalsi, South Korea","Operating",,2012-05-01,,"Consulting","1-10",0,,,0,,0,0,0,,,,,,,
"6587","Shipedge",,"Durham, North Carolina, United States","Operating",,2008-01-01,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6588","Snorezing Anti-Snoring Mouthpiece",,"Kiambu, Central, Kenya","Operating",,2016-04-10,1,,"1-10",0,,,0,,0,0,0,,,,,,,
"6589","Stubapp",,"Petaling Jaya, Selangor, Malaysia","Operating",,2015-07-01,,,"1-10",0,1,2016-01-17,0,"Grant",0,0,113243,1,0,,,,,
"6590","Silicon Valley Open Doors Conference",,,"Operating",,2005-01-01,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6591","Startup Ukraine",,"Cupertino, California, United States","Operating",,2012-01-01,,,"51-100",0,,,0,,0,0,0,,,,,,,
"6592","Simpler",,,"Operating",,2015-04-01,,,"1-10",1,,,0,,0,0,0,,,,,,,
"6593","Startup Visa US",,,"Operating",,2013-05-01,,,"1-10",1,,,0,,0,0,0,,,,,,,
"6594","Sorte do MÃªs",,"Curitiba, Parana, Brazil","Operating",,,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6595","Shift IT","Software","FlorianÃ³polis, Santa Catarina, Brazil","Operating",,,,"Web Development, Software","1-10",0,,,0,,0,0,0,,,,,,,
"6596","Social Impact Branding - SoPac, Inc.",,,"Operating",,2016-03-29,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6597","Startup Jobs Germany",,,"Operating",,2014-01-01,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6598","Spark Charleston",,"Charleston, South Carolina, United States","Operating",,,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6599","St. Louis Regional Chamber",,,"Operating",,1836-01-01,,,"11-50",0,,,0,,0,0,0,,,,,,,
"6600","StepNW",,"Seattle, Washington, United States","Operating",,2015-01-01,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6601","Sheffield City Guide","Sales and Marketing, Advertising","Sheffield, Sheffield, United Kingdom","Operating",,2012-01-01,,"Advertising","1-10",0,,,0,,0,0,0,,,,,,,
"6602","Startuptimes.in","Media and Entertainment, Content and Publishing",,"Operating",,2012-09-21,,"News","1-10",0,,,0,,0,0,0,,,,,,,
"6603","StartUP LunchBox",,"London, England, United Kingdom","Operating",,,,"Small and Medium Businesses","11-50",0,,,0,,0,0,0,,,,,,,
"6604","Startup Club","Community and Lifestyle",,"Operating",,,,"Communities","1-10",0,,,0,,0,0,0,,,,,,,
"6605","Serial Start",,,"Operating",,2015-01-01,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6606","SevenRE",,"Kaiserslautern, Rheinland-Pfalz, Germany","Operating",,2014-01-01,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6607","Startup Sorocaba",,,"Operating",,2014-01-01,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6608","Solarch",,"Helsinki, Southern Finland, Finland","Operating",,,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6609","SysMiddle Technology - Connect & Innovate",,"Lages, Santa Catarina, Brazil","Operating",,2015-02-05,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6610","Sigrow",,,"Operating",,2015-06-01,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6611","StartupsAnoniem",,,"Operating",,2015-01-01,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6612","Startup Catchup",,,"Operating",,,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6613","smoopr","Software",,"Operating",,,,"Software","1-10",0,,,0,,0,0,0,,,,,,,
"6614","Sevident",,,"Operating",,2008-01-01,,,"1-10",1,,,0,,0,0,0,,,,,,,
"6615","Startup Submitter",,,"Operating",,2016-02-01,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6616","Startup Story",,,"Operating",,2012-01-01,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6617","Sense Virtual",,,"Operating",,2013-01-01,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6618","Suksh Technology","Information Technology, Software","Bangalore, Karnataka, India","Operating",,2008-04-01,,"IT Management, Software","251-500",0,,,0,,0,0,0,,,,,,,
"6619","stpcollege.com","Education",,"Operating",,,1,"Education","11-50",0,,,0,,0,0,0,,,,,,,
"6620","Serene Machine","Information Technology",,"Operating",,2013-01-01,,"Information Technology","1-10",0,,,0,,0,0,0,,,,,,,
"6621","SpotApp","Internet Services",,"Operating",,2012-01-01,,"Internet","1-10",0,,,0,,0,0,0,,,,,,,
"6622","Sloothie POS",,"New York, New York, United States","Operating",,2014-12-15,,,"11-50",0,,,0,,0,0,0,,,,,,,
"6623","StaTwig Technology Services",,"Hyderabad, Andhra Pradesh, India","Operating",,2016-07-25,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6624","Spire Vision",,"New York, New York, United States","Operating",,2004-01-01,,,"11-50",0,,,0,,0,0,0,,,,,,,
"6625","smartBusinessPlanet LLC",,,"Operating",,2015-05-29,,,"1-10",0,,,0,,0,0,0,,,,,,,
"6626","Startups Club",,"Bengaluru, Karnataka, India","Operating",,2013-03-02,,,"1-10",0,,,0,,0,0,0,,,,,,,
