"","Company.Name","Category.Groups","Headquarters.Location","Status","Closed.Date","Founded.Date","Number.of.Articles","Categories","Number.of.Employees","Number.of.Founders","Number.of.Funding.Rounds","Last.Funding.Date","Last.Funding.Amount","Last.Funding.Type","Last.Equity.Funding.Amount","Total.Equity.Funding.Amount","Total.Funding.Amount","Number.of.Investors","Number.of.Lead.Investors","Stock.Exchange","Stock.Symbol","Valuation.at.IPO","Money.Raised.at.IPO","IPO.Date"
"6689","Talena","Data and Analytics, Software","San Jose, California, United States","Operating",,2013-01-01,12,"Software, Database, Big Data","11-50",1,1,2015-08-11,1.2e+07,"Series A",1.2e+07,1.2e+07,1.2e+07,4,1,,,,,
"6690","TradeWind Markets","Information Technology, Community and Lifestyle, Financial Services","New York, New York, United States","Operating",,2016-04-11,,"Financial Services, Communities, Information Technology","1-10",0,1,2016-06-29,8999998,"Series Unknown",8999998,8999998,8999998,,,,,,,
"6691","TuneGO","Software","Henderson, Nevada, United States","Operating",,2013-01-23,2,"Software","1-10",0,4,2016-12-20,3600000,"Series A",3600000,5320446,5320446,,,,,,,
"6692","Tookitaki","Media and Entertainment, Software, Sales and Marketing, Internet Services, Advertising","Singapore, Central Region, Singapore","Operating",,2012-01-01,11,"Advertising, Social Media, Marketing Automation","11-50",2,4,2015-01-06,1e+06,"Seed",1e+06,1225000,1225000,13,2,,,,,
"6693","Twisto Payments","Commerce and Shopping, Software, Payments, Financial Services, Lending and Investments, Mobile","Prague, Hlavni mesto Praha, Czech Republic","Operating",,2013-06-30,5,"Credit, FinTech, Risk Management, E-Commerce, Mobile Payments","11-50",1,5,2015-12-01,2e+06,"Series A",2e+06,2e+06,2e+06,6,0,,,,,
"6694","Tasty Labs","Data and Analytics, Software","Mountain View, California, United States","Was Acquired",,2010-10-01,32,"Application Performance Management, Enterprise Software, Social","11-50",2,1,2010-11-24,3e+06,"Series A",3e+06,3e+06,3e+06,6,0,,,,,
"6695","Terbine","Information Technology, Data and Analytics, Transportation, Internet Services","San Francisco, California, United States","Operating",,2015-05-15,1,"Cloud Data Services, Big Data, Transportation, Internet of Things","11-50",1,1,2015-05-20,550000,"Angel",550000,550000,550000,2,0,,,,,
"6696","Telepathic","Hardware, Media and Entertainment, Software, Video, Mobile","Hoopeston, Illinois, United States","Operating",,2015-01-01,,"Mobile, Virtual Reality, Video","11-50",0,1,2015-09-17,1200000,"Seed",1200000,1200000,1200000,9,0,,,,,
"6697","Touchkin eServices","Data and Analytics, Software, Health Care, Mobile","Bangalore, Karnataka, India","Operating",,2015-01-01,5,"Big Data, Machine Learning, mHealth, Health Care, Wellness","1-10",2,1,2016-03-29,4e+05,"Seed",4e+05,4e+05,4e+05,5,0,,,,,
"6698","Tome","Software, Internet Services, Mobile","Royal Oak, Michigan, United States","Operating",,2014-01-01,,"Mobile, Enterprise Software, Internet of Things","11-50",1,2,2014-10-07,2.5e+07,"Convertible Note",2.5e+07,2.5e+07,2.5e+07,2,0,,,,,
"6699","ThisWay Global","Information Technology, Data and Analytics, Software, Professional Services, Mobile","Cambridge, Cambridgeshire, United Kingdom","Operating",,2015-01-26,1,"Information Technology, Software, Mobile, Big Data, B2B, Recruiting","1-10",1,2,2016-09-27,0,"Seed",0,2723331,2723331,3,1,,,,,
"6700","Twistle","Hardware, Software","Albuquerque, New Mexico, United States","Operating",,2011-01-01,,"Service Industry, Enterprise Software, Communications Infrastructure","1-10",0,2,2015-09-04,1400000,"Debt Financing",820001,820001,2220001,,,,,,,
"6701","thethings.iO","Software, Internet Services","Barcelona, Catalonia, Spain","Operating",,2013-06-27,3,"Internet of Things, Developer APIs","1-10",1,2,2015-07-07,270000,"Angel",270000,297345,297345,5,0,,,,,
"6702","tok tok tok","Commerce and Shopping, Mobile","Paris, Ile-de-France, France","Was Acquired",2016-09-01,2013-01-01,2,"Mobile, Retail","11-50",1,1,2014-01-22,2e+06,"Seed",2e+06,2e+06,2e+06,,,,,,,
"6703","TinyPCB","Science and Engineering, Hardware, Consumer Electronics, Software, Health Care, Internet Services, Design","San Jose, California, United States","Operating",,2015-01-21,,"Electronics, Wearables, Medical Device, Semiconductor, Product Design, Internet of Things, Industrial, Virtual Reality, Robotics","1-10",2,1,2016-11-09,250000,"Convertible Note",250000,250000,250000,,,,,,,
"6704","Transmetrics","Data and Analytics, Software, Transportation","Sofia, Grad Sofiya, Bulgaria","Operating",,2013-03-18,2,"Analytics, Logistics, Business Intelligence, Transportation, Predictive Analytics, Big Data, Shipping","11-50",4,5,2015-10-22,380000,"Angel",380000,1067836,1067836,1,0,,,,,
"6705","Tueetor","Software, Education","Singapore, Central Region, Singapore","Operating",,2016-01-01,,"EdTech, E-Learning, Education",,1,1,2016-08-12,1480000,"Series Unknown",1480000,1480000,1480000,1,1,,,,,
"6706","This Game Studio","Gaming","Vancouver, British Columbia, Canada","Operating",,2014-01-01,2,"Gamification","11-50",4,1,2015-04-09,5e+06,"Series Unknown",5e+06,5e+06,5e+06,2,2,,,,,
"6707","The Gifts Project","Apps, Commerce and Shopping, Community and Lifestyle, Software, Financial Services","Tel Aviv, Tel Aviv, Israel","Was Acquired",,2009-11-01,7,"Gift Card, Private Social Networking, Apps, E-Commerce","1-10",4,2,2010-12-23,1e+06,"Seed",1e+06,1e+06,1e+06,4,0,,,,,
"6708","Thirty Labs","Media and Entertainment, Video","New York, New York, United States","Operating",,2014-04-11,3,"Video","1-10",1,2,2015-02-10,2e+06,"Seed",2e+06,2e+06,3439960,12,0,,,,,
"6709","TrustGo","Apps, Software, Sales and Marketing, Privacy and Security","Santa Clara, California, United States","Was Acquired",,2011-06-08,17,"App Discovery, Security","11-50",1,2,2012-07-31,0,"Seed",0,1500000,1500000,7,0,,,,,
"6710","The Kettlery","Food and Beverage","Ahmedabad, Gujarat, India","Operating",,2015-01-01,,"Food and Beverage, Consumer, Tea",,1,1,2016-10-25,1e+06,"Seed",1e+06,1e+06,1e+06,,,,,,,
"6711","TradeSocio","Software, Internet Services, Financial Services","Limassol, Limassol, Cyprus","Operating",,2015-01-01,2,"FinTech, Internet, Financial Services, Software","11-50",1,1,2016-03-16,1200000,"Seed",1200000,1200000,1200000,1,1,,,,,
"6712","Telepathy","Hardware, Software","Sunnyvale, California, United States","Operating",,2013-01-01,,"Hardware, Software","11-50",1,1,2013-09-03,5e+06,"Series A",5e+06,5e+06,5e+06,2,2,,,,,
"6713","The Next Web","Media and Entertainment, Events, Content and Publishing","Amsterdam, Noord-Holland, The Netherlands","Operating",,2008-01-01,188,"Events, News, Publishing","51-100",3,,,0,,0,0,0,,,,,,,
"6714","The Lions","Professional Services, Internet Services","San Francisco, California, United States","Operating",,2010-04-01,1,"Consulting, Search Engine, Recruiting","11-50",1,1,2011-04-01,250000,"Angel",250000,250000,250000,,,,,,,
"6715","TheFashion","Internet Services, Design","London, England, United Kingdom","Operating",,2013-08-01,,"Internet, Fashion","1-10",3,2,2014-11-12,1700000,"Seed",1700000,2100000,2100000,3,1,,,,,
"6716","Tango Tech","Hardware, Software","San Diego, California, United States","Operating",,2012-01-01,,"Virtual Reality, Hardware, Software","11-50",1,1,2013-01-01,350000,"Product Crowdfunding",350000,350000,350000,,,,,,,
"6717","TearSolutions","Health Care, Consumer Goods","Charlottesville, Virginia, United States","Operating",,2013-01-01,,"Pharmaceutical, Medical, Eyewear","1-10",2,2,2015-11-09,3e+06,"Series A",3e+06,3390000,3390000,4,1,,,,,
"6718","Tracky","Information Technology, Software","Las Vegas, Nevada, United States","Operating",,2010-11-05,12,"Information Technology, Information Services, Enterprise Software","11-50",1,2,2012-06-13,5e+05,"Angel",5e+05,1500000,1500000,1,0,,,,,
"6719","Trineba Technologies Inc.","Information Technology, Privacy and Security, Mobile","New York, New York, United States","Operating",,2014-01-01,,"Mobile, Security, Privacy, Cyber Security","1-10",4,3,2015-01-11,250000,"Seed",250000,625000,625000,,,,,,,
"6720","TapCanvas","Software, Mobile","Palo Alto, California, United States","Operating",,2011-10-05,3,"Mobile, Web Development","1-10",3,1,2012-04-01,2e+05,"Seed",2e+05,2e+05,2e+05,3,2,,,,,
"6721","Transportila Inc.","Commerce and Shopping, Software, Administrative Services, Transportation","Pleasanton, California, United States","Operating",,2014-03-12,,"Software, Logistics, Transportation, Shipping, Delivery, Supply Chain Management, Online Auctions","11-50",2,1,2014-06-01,415000,"Seed",415000,415000,415000,,,,,,,
"6722","Taembe.com","Health Care, Internet Services","Singapore, Central Region, Singapore","Operating",,2013-01-01,,"Children, Internet, Child Care",,2,1,2015-10-15,228000,"Seed",228000,228000,228000,3,0,,,,,
"6723","Tap 'n Tap","Platforms, Media and Entertainment, Software, Sales and Marketing, Mobile, Advertising","Cambridge, Massachusetts, United States","Operating",,2008-01-01,,"Digital Media, Mobile, Android, Mobile Advertising","11-50",1,3,2013-07-01,0,"Series Unknown",0,2100000,2100000,2,1,,,,,
"6724","TerraTalk","Education",,"Operating",,2016-01-01,,"Language Learning, Education","1-10",1,1,2016-02-24,1340000,"Seed",1340000,1340000,1340000,1,1,,,,,
"6725","The Hive","Data and Analytics, Financial Services, Lending and Investments","Palo Alto, California, United States","Operating",,2012-09-01,7,"Big Data, Finance, Incubators, FinTech","51-100",2,1,2012-09-01,0,"Series Unknown",0,0,0,3,0,,,,,
"6726","TraceWave GmbH","Hardware, Navigation and Mapping, Internet Services, Mobile","Berlin, Berlin, Germany","Operating",,2013-11-15,,"Internet of Things, Wireless, Indoor Positioning","1-10",2,3,2015-02-02,102200,"Seed",102200,413400,413400,,,,,,,
"6727","TinyLoot","Platforms, Software, Mobile","Haarlem, Noord-Holland, The Netherlands","Operating",,2014-02-01,2,"Mobile, Android","1-10",1,2,2014-11-01,150000,"Angel",150000,220000,220000,,,,,,,
